num_job,age,age_group,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,number_subscription,subscripton_rate
1,30,26-35,unemployed,married,primary,no,1787,no,no,cellular,19,oct,79,1,-1,0,unknown,no,13,10.16%
68,33,26-35,services,married,secondary,no,4789,yes,yes,cellular,11,may,220,1,339,4,failure,no,38,9.11%
155,35,26-35,management,single,tertiary,no,1350,yes,no,cellular,16,apr,185,1,330,1,failure,no,131,13.52%
135,30,26-35,management,married,tertiary,no,1476,yes,yes,unknown,3,jun,199,4,-1,0,unknown,no,131,13.52%
16,59,60+,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no,69,7.29%
20,36,36-45,self-employed,married,tertiary,no,307,yes,no,cellular,14,may,341,1,330,2,other,no,20,10.93%
109,39,36-45,technician,married,secondary,no,147,yes,no,cellular,6,may,151,2,-1,0,unknown,no,83,10.81%
30,41,36-45,entrepreneur,married,tertiary,no,221,yes,no,unknown,14,may,57,2,-1,0,unknown,no,15,8.93%
6,43,36-45,services,married,primary,no,-88,yes,yes,cellular,17,apr,313,1,147,2,failure,no,38,9.11%
70,39,36-45,services,married,secondary,no,9374,yes,no,unknown,20,may,273,1,-1,0,unknown,no,38,9.11%
66,43,36-45,admin.,married,secondary,no,264,yes,no,cellular,17,apr,113,2,-1,0,unknown,no,58,12.13%
32,36,36-45,technician,married,tertiary,no,1109,no,no,cellular,13,aug,328,2,-1,0,unknown,no,83,10.81%
22,20,18-25,student,single,secondary,no,502,no,no,cellular,30,apr,261,1,-1,0,unknown,yes,19,22.62%
144,31,26-35,blue-collar,married,secondary,no,360,yes,yes,cellular,29,jan,89,1,241,1,failure,no,69,7.29%
162,40,36-45,management,married,tertiary,no,194,no,yes,cellular,29,aug,189,2,-1,0,unknown,no,131,13.52%
20,56,60+,technician,married,secondary,no,4073,no,no,cellular,27,aug,239,5,-1,0,unknown,no,83,10.81%
4,37,36-45,admin.,single,tertiary,no,2317,yes,no,cellular,20,apr,114,1,152,2,failure,no,58,12.13%
4,25,18-25,blue-collar,single,primary,no,-221,yes,no,unknown,23,may,250,1,-1,0,unknown,no,69,7.29%
2,38,36-45,management,divorced,unknown,no,0,yes,no,cellular,18,nov,96,2,-1,0,unknown,no,131,13.52%
40,42,36-45,management,divorced,tertiary,no,16,no,no,cellular,19,nov,140,3,-1,0,unknown,no,131,13.52%
25,44,36-45,services,single,secondary,no,106,no,no,unknown,12,jun,109,2,-1,0,unknown,no,38,9.11%
18,44,36-45,entrepreneur,married,secondary,no,93,no,no,cellular,7,jul,125,2,-1,0,unknown,no,15,8.93%
6,26,26-35,housemaid,married,tertiary,no,543,no,no,cellular,30,jan,169,3,-1,0,unknown,no,14,12.50%
87,55,46-55,blue-collar,married,primary,no,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no,69,7.29%
9,67,60+,retired,married,unknown,no,696,no,no,telephone,17,aug,119,1,105,2,failure,no,54,23.48%
5,56,60+,self-employed,married,secondary,no,784,no,yes,cellular,30,jul,149,2,-1,0,unknown,no,20,10.93%
57,53,46-55,admin.,married,secondary,no,105,no,yes,cellular,21,aug,74,2,-1,0,unknown,no,58,12.13%
12,68,60+,retired,divorced,secondary,no,4189,no,no,telephone,14,jul,897,2,-1,0,unknown,yes,54,23.48%
81,31,26-35,technician,married,secondary,no,171,no,no,cellular,27,aug,81,3,-1,0,unknown,no,83,10.81%
12,59,60+,management,married,secondary,no,42,no,no,cellular,21,nov,40,1,-1,0,unknown,no,131,13.52%
25,49,46-55,technician,married,tertiary,no,1235,no,no,cellular,13,aug,354,3,-1,0,unknown,yes,83,10.81%
21,42,36-45,admin.,divorced,secondary,no,1811,yes,no,unknown,14,may,150,1,-1,0,unknown,no,58,12.13%
11,78,60+,retired,divorced,primary,no,229,no,no,telephone,22,oct,97,1,-1,0,unknown,yes,54,23.48%
22,33,26-35,management,married,secondary,no,3935,yes,no,cellular,6,may,765,1,342,2,failure,yes,131,13.52%
1,23,18-25,services,single,tertiary,no,363,yes,no,unknown,30,may,16,18,-1,0,unknown,no,38,9.11%
65,38,36-45,management,single,tertiary,no,11971,yes,no,unknown,17,nov,609,2,101,3,failure,no,131,13.52%
84,52,46-55,blue-collar,married,secondary,no,1117,yes,no,cellular,13,may,365,1,-1,0,unknown,no,69,7.29%
26,32,26-35,technician,married,tertiary,no,396,yes,no,cellular,13,may,205,3,-1,0,unknown,no,83,10.81%
72,32,26-35,technician,single,tertiary,no,2204,yes,no,cellular,21,nov,11,4,-1,0,unknown,no,83,10.81%
50,26,26-35,blue-collar,married,primary,no,0,yes,no,unknown,21,may,425,1,-1,0,unknown,no,69,7.29%
1,32,26-35,entrepreneur,single,primary,yes,-849,yes,yes,cellular,4,feb,204,1,-1,0,unknown,no,15,8.93%
3,61,60+,admin.,married,unknown,no,4629,yes,no,cellular,27,jan,181,1,92,1,success,yes,58,12.13%
13,45,36-45,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018,3,-1,0,unknown,yes,69,7.29%
43,37,36-45,technician,single,secondary,no,228,yes,no,cellular,20,aug,1740,2,-1,0,unknown,no,83,10.81%
15,33,26-35,self-employed,single,tertiary,no,2155,no,no,cellular,17,nov,295,1,-1,0,unknown,no,20,10.93%
1,36,36-45,retired,single,secondary,no,101,yes,yes,unknown,26,may,314,1,-1,0,unknown,no,54,23.48%
19,54,46-55,technician,divorced,secondary,no,784,yes,yes,unknown,15,may,579,1,-1,0,unknown,no,83,10.81%
116,41,36-45,blue-collar,married,primary,no,-516,no,yes,telephone,8,jul,554,3,-1,0,unknown,no,69,7.29%
66,63,60+,retired,married,secondary,no,415,yes,no,cellular,7,oct,323,1,-1,0,unknown,no,54,23.48%
95,48,46-55,management,married,tertiary,no,5887,no,no,cellular,13,aug,227,2,-1,0,unknown,no,131,13.52%
55,48,46-55,services,married,secondary,no,1355,no,no,cellular,4,jul,134,2,-1,0,unknown,no,38,9.11%
24,56,60+,admin.,married,secondary,no,16873,no,no,cellular,7,oct,223,1,-1,0,unknown,no,58,12.13%
6,51,46-55,blue-collar,divorced,secondary,no,203,yes,no,cellular,8,may,134,1,170,5,failure,no,69,7.29%
24,41,36-45,management,married,secondary,no,0,no,yes,cellular,7,jul,630,3,-1,0,unknown,no,131,13.52%
4,42,36-45,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no,15,8.93%
3,41,36-45,services,married,tertiary,no,412,yes,no,unknown,3,jun,154,5,-1,0,unknown,no,38,9.11%
37,54,46-55,management,divorced,tertiary,no,3222,no,no,cellular,14,aug,67,2,-1,0,unknown,no,131,13.52%
16,41,36-45,blue-collar,divorced,secondary,no,174,yes,no,cellular,14,may,367,2,297,1,other,no,69,7.29%
18,50,46-55,blue-collar,divorced,primary,no,388,no,no,cellular,5,feb,701,1,-1,0,unknown,no,69,7.29%
12,40,36-45,unemployed,married,secondary,no,219,yes,no,cellular,17,nov,204,2,196,1,failure,no,13,10.16%
16,27,26-35,admin.,divorced,secondary,no,451,yes,no,cellular,16,jul,652,1,-1,0,unknown,yes,58,12.13%
51,60,60+,retired,married,primary,no,5,no,no,cellular,26,aug,63,2,-1,0,unknown,no,54,23.48%
68,28,26-35,admin.,single,secondary,no,177,yes,yes,cellular,6,may,150,1,-1,0,unknown,no,58,12.13%
25,35,26-35,blue-collar,single,primary,no,293,yes,no,unknown,30,may,521,2,-1,0,unknown,no,69,7.29%
68,27,26-35,services,single,secondary,no,-195,yes,no,cellular,18,may,391,1,-1,0,unknown,yes,38,9.11%
3,41,36-45,unknown,single,tertiary,no,1567,no,no,cellular,1,jul,291,2,-1,0,unknown,no,7,18.42%
12,41,36-45,admin.,married,tertiary,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown,no,58,12.13%
13,30,26-35,admin.,single,tertiary,no,261,no,no,cellular,19,oct,233,1,137,20,failure,no,58,12.13%
1,31,26-35,unemployed,single,primary,no,406,no,no,cellular,4,feb,736,1,-1,0,unknown,yes,13,10.16%
126,36,36-45,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,337,1,-1,0,unknown,no,69,7.29%
88,49,46-55,technician,married,secondary,no,5996,no,no,telephone,21,nov,345,2,-1,0,unknown,no,83,10.81%
1,57,60+,services,single,primary,no,3777,yes,no,telephone,13,may,65,2,-1,0,unknown,no,38,9.11%
15,34,26-35,management,single,secondary,no,524,no,no,unknown,13,aug,9,1,-1,0,unknown,no,131,13.52%
17,33,26-35,self-employed,married,tertiary,no,483,yes,no,cellular,3,feb,280,2,-1,0,unknown,no,20,10.93%
3,56,60+,unemployed,married,primary,no,3391,no,no,cellular,21,apr,243,1,-1,0,unknown,yes,13,10.16%
5,27,26-35,housemaid,married,primary,no,0,yes,no,cellular,23,jul,435,3,-1,0,unknown,no,14,12.50%
41,58,60+,management,married,tertiary,no,1517,yes,no,telephone,29,jul,7,5,-1,0,unknown,no,131,13.52%
13,32,26-35,self-employed,married,secondary,no,217,yes,yes,cellular,15,jul,317,5,-1,0,unknown,no,20,10.93%
83,33,26-35,blue-collar,single,secondary,no,22,no,no,cellular,30,jan,76,2,207,1,failure,no,69,7.29%
8,25,18-25,technician,single,secondary,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,yes,83,10.81%
5,22,18-25,admin.,single,secondary,no,4111,no,yes,cellular,19,aug,65,1,-1,0,unknown,no,58,12.13%
20,51,46-55,management,single,tertiary,yes,-55,yes,no,cellular,11,may,281,2,266,6,failure,no,131,13.52%
2,24,18-25,unemployed,single,secondary,no,119,no,no,unknown,15,sep,51,1,-1,0,unknown,no,13,10.16%
7,77,60+,retired,divorced,tertiary,no,4659,no,no,cellular,14,apr,161,1,-1,0,unknown,yes,54,23.48%
